AnoMes,quantidadePix,valorPix,quantidadeTED,valorTED,quantidadeTEC,valorTEC,quantidadeCheque,valorCheque,quantidadeBoleto,valorBoleto,quantidadeDOC,valorDOC
202607,7975139.94,3800592.19,68602.77,4058803.01,0.0,0.0,6607.51,30011.4,341104.26,577982.13,0.0,0.0
202606,7699815.65,3599270.78,64041.78,4235160.17,0.0,0.0,6693.47,30773.59,340587.57,577082.91,0.0,0.0
202605,7854699.48,3478034.84,65540.9,3828232.89,0.0,0.0,6299.28,28997.49,321873.66,541107.26,0.0,0.0
202604,7370602.06,3421732.27,65272.11,4064285.57,0.0,0.0,6667.11,32464.83,326984.42,552159.56,0.0,0.0
202603,7442903.15,3533664.12,69211.12,4196796.01,0.0,0.0,7367.69,32865.28,346881.81,572564.03,0.0,0.0
202602,6606114.79,2996838.9,63710.34,3342672.09,0.0,0.0,6264.06,26618.21,307053.39,487957.93,0.0,0.0
202601,7021997.69,3170990.34,59302.67,3819653.6,0.0,0.0,7053.84,30801.1,315999.89,511645.82,0.0,0.0
202512,7858999.2,3771628.4,77612.7,4632904.84,0.0,0.0,7934.51,33738.32,360617.75,603920.36,0.0,0.0
202511,7161424.75,3122098.39,61980.91,3565384.27,0.0,0.0,7021.35,29207.65,317968.79,513158.5,0.0,0.0
202510,7262044.71,3315978.67,69508.97,3935395.1,0.0,0.0,8133.43,34584.96,347805.9,570061.34,0.0,0.0
202509,6843677.25,3178872.86,67787.76,3935730.15,0.0,0.0,8401.46,36257.82,349079.13,569213.66,0.0,0.0
202508,6965545.33,3033563.78,64506.6,3700999.64,0.0,0.0,7764.15,34009.59,328959.8,522435.28,0.0,0.0
202507,6671770.9,3055518.75,67192.89,3915166.65,0.0,0.0,8507.87,35797.81,353819.55,564569.38,0.0,0.0
202506,6453692.04,2865951.56,61192.05,3728009.92,0.0,0.0,8217.12,34182.86,338127.37,523439.24,0.0,0.0
202505,6632765.22,2818937.95,64178.98,3799492.18,0.0,0.0,8406.19,35833.8,340006.42,532979.61,0.0,0.0
202504,6267333.46,2673358.43,58891.0,3798026.1,0.0,0.0,8454.24,36327.15,341624.79,539022.34,0.0,0.0
202503,6238231.6,2566965.2,61294.83,3683199.49,0.0,0.0,8808.83,35645.95,340788.0,516117.79,0.0,0.0
202502,5598509.94,2429262.08,61949.09,3378764.97,0.0,0.0,8350.17,33019.98,324481.7,488180.37,0.0,0.0
202501,5673012.47,2469941.67,62232.13,3705721.69,0.0,0.0,9199.15,36429.91,338952.59,519244.8,0.0,0.0
202412,6429873.76,2778266.67,75539.52,4248330.27,0.0,0.0,9616.44,37774.51,361042.81,566693.06,0.0,0.0
202411,5794534.99,2456993.87,68004.61,3526411.66,0.0,0.0,9018.91,34430.29,332501.15,512370.3,0.0,0.0
202410,5712448.02,2476793.69,68590.55,3885790.21,0.0,0.0,10202.17,39646.01,362192.91,563986.63,0.0,0.0
202409,5515140.08,2313327.22,66156.06,3730246.74,0.0,0.0,9978.94,39601.85,344698.46,520250.19,0.0,0.0
202408,5639358.01,2326231.16,67581.13,3621022.67,0.0,0.0,10009.39,39142.87,343924.99,519248.33,0.0,0.0
202407,5392806.29,2338132.97,69657.23,3828950.29,0.0,0.0,10942.8,41504.78,366484.15,546660.21,0.0,0.0
202406,5252176.9,2118312.04,64970.94,3544187.49,0.0,0.0,9642.76,36114.74,327754.93,475278.61,0.0,0.0
202405,5204193.37,2103326.01,69023.19,3482037.72,0.0,0.0,10467.85,40133.55,349180.92,506302.82,0.0,0.0
202404,4900457.64,2062609.18,70647.2,3652606.92,0.0,0.0,11179.22,43295.4,361633.28,524619.69,0.0,0.0
