AnoMes,FINALIDADE,volume,qtd
202011,Nao disponivel,25869846307.88,29524895
202012,Nao disponivel,107200725983.28,124890953
202101,Nao disponivel,275839114657.9,339532214
202102,Nao disponivel,508815601835.88,688253877
202103,Nao disponivel,953363080881.4,1313838448
202104,Nao disponivel,1368004379674.35,2053361320
202105,Nao disponivel,1964289166263.6,3259667208
202106,Nao disponivel,2146140187045.47,3828270194
202106,Pix,383401330993.8,553853307
202107,Nao disponivel,2354479099.36,11610568
202107,Pix,3305025488016.56,5953819848
202108,Nao disponivel,3239078503.86,16756992
202108,Pix,4118801855251.68,7319960649
202109,Nao disponivel,4490882558.7,20590890
202109,Pix,4791922504551.7,8691550590
202109,Pix Saque,0.4,20
202110,Nao disponivel,4591529860.39,26026407
202110,Pix,5518254776466.63,10752454460
202111,Nao disponivel,5931509461.44,37528332
202111,Pix,6454027965033.6,12384165288
202111,Pix Saque,13800.0,24
202112,Nao disponivel,7939804315.17,57326997
202112,Pix,8083653580567.63,15859832313
202112,Pix Saque,5747687.92,46644
202112,Pix Troco,755915.29,3809
202201,Nao disponivel,7786607148.88,52666376
202201,Pix,7747781716425.1,15253539154
202201,Pix Saque,135482167.94,931714
202201,Pix Troco,5760278.44,17976
202202,Nao disponivel,8809714545.0,55771200
202202,Pix,8426072413155.15,17379425115
202202,Pix Saque,195472170.6,1373295
202202,Pix Troco,8131375.8,23865
202203,Nao disponivel,11073773237.44,76827440
202203,Pix,11031781205982.4,21720625424
202203,Pix Saque,304449875.52,2168672
202203,Pix Troco,11287176.96,33232
202204,Nao disponivel,12307656885.94,80653848
202204,Pix,11555187288774.73,24056178916
202204,Pix Saque,368060497.33,2563311
202204,Pix Troco,12042029.22,33184
202205,Nao disponivel,14175927241.38,92400822
202205,Pix,13856566820703.12,28257163272
202205,Pix Saque,464284695.24,3324780
202205,Pix Troco,13976424.18,39888
202206,Nao disponivel,15228038997.11,99663170
202206,Pix,14666141023976.92,30937295509
202206,Pix Saque,589567652.93,4245037
202206,Pix Troco,18017676.25,51167
202207,Nao disponivel,17286670343.2,113290860
202207,Pix,16218391855941.8,34879829120
202207,Pix Saque,740870885.8,5352240
202207,Pix Troco,23374472.0,62940
202208,Nao disponivel,20433686681.31,131861373
202208,Pix,18606655142039.79,38898570858
202208,Pix Saque,889669389.63,6525414
202208,Pix Troco,28487100.39,73794
202209,Nao disponivel,21918952770.0,138299788
202209,Pix,19338676299612.56,42129698952
202209,Pix Saque,1132833511.92,8591264
202209,Pix Troco,37334467.06,103664
202210,Nao disponivel,26542843624.82,159464359
202210,Pix,20614179270309.73,46957828468
202210,Pix Saque,1208142722.12,9063196
202210,Pix Troco,37403081.160000004,106260
202211,Nao disponivel,27688874919.36,179154864
202211,Pix,22084414602119.76,50301641160
202211,Pix Saque,1368925226.64,10230264
202211,Pix Troco,42756567.84,107712
202212,Nao disponivel,39699699130.25,231777325
202212,Pix,26128121243107.0,60332943800
202212,Pix Saque,1861693164.0,14232825
202212,Pix Troco,63790601.25,163275
202301,Nao disponivel,33193704712.48,212101084
202301,Pix,24801986080796.08,56529367232
202301,Pix Saque,2253906654.48,14233388
202301,Pix Troco,52798533.58,139412
202302,Nao disponivel,31458619329.21,213689151
202302,Pix,24435143225018.91,57923655255
202302,Pix Saque,2514937464.27,14847300
202302,Pix Troco,54836646.57,142155
202303,Nao disponivel,38690096112.36,249828796
202303,Pix,30711503279840.04,71019083408
202303,Pix Saque,3324047515.04,19276880
202303,Pix Troco,65354559.76,179732
202304,Nao disponivel,38828532820.07,269277209
202304,Pix,29808789377231.45,72764803002
202304,Pix Saque,3351922488.32,18970408
202304,Pix Troco,61380057.59,173710
202305,Nao disponivel,44620112232.6,294853920
202305,Pix,34355360543159.4,82448727600
202305,Pix Saque,4167026613.3,23402490
202305,Pix Troco,70351264.2,198180
202306,Nao disponivel,48068100914.57,331949736
202306,Pix,35818711061243.27,88255419589
202306,Pix Saque,4324659301.25,23732329
202306,Pix Troco,72716154.39999999,191363
202307,Nao disponivel,51998357054.08,376460448
202307,Pix,38568975279796.8,98077697248
202307,Pix Saque,5137230329.6,27135808
202307,Pix Troco,90948559.04,244960
202308,Nao disponivel,59591242893.27,395208990
202308,Pix,42397768404198.57,107755746318
202308,Pix Saque,5845125545.16,30345447
202308,Pix Troco,103501848.12,303666
202309,Nao disponivel,57364465538.94,433453930
202309,Pix,43361288282815.74,113471610234
202309,Pix Saque,6218234646.88,30538698
202309,Pix Troco,103605357.25999999,292366
202310,Nao disponivel,90618995132.05,516533850
202310,Pix,48220090286702.6,123860361555
202310,Pix Saque,6917387362.2,34099835
202310,Pix Troco,102238412.5,309960
202311,Nao disponivel,117436615508.16,511331220
202311,Pix,51069740495205.96,132844549176
202311,Pix Saque,7935867712.44,36541584
202311,Pix Troco,112673113.56,331524
202312,Nao disponivel,133217785123.37,626578794
202312,Pix,59059586169737.24,155220970394
202312,Pix Saque,11761699816.71,48707318
202312,Pix Troco,155975668.94,445110
202401,Nao disponivel,109995785018.52,593533286
202401,Pix,56240842158882.3,145686340622
202401,Pix Saque,10918062039.8,44186514
202401,Pix Troco,129099459.60000001,365598
202402,Nao disponivel,115918336697.67,559387764
202402,Pix,55380868518283.62,149431642230
202402,Pix Saque,10253230259.22,44769192
202402,Pix Troco,128649938.04,379080
202403,Nao disponivel,179310409534.4,653845160
202403,Pix,63481860044568.0,172211378360
202403,Pix Saque,11832203342.0,51441720
202403,Pix Troco,138297202.0,422520
202404,Nao disponivel,295863950875.8,671501977
202404,Pix,70880164823951.66,177432945948
202404,Pix Saque,12157385706.19,51201907
202404,Pix Troco,140328383.09,435707
202405,Nao disponivel,309033067174.86,764267826
202405,Pix,74048719734798.48,193256235186
202405,Pix Saque,12498602018.7,50131578
202405,Pix Troco,150755128.85999998,450282
202406,Nao disponivel,297982477223.96,767770547
202406,Pix,76072450567018.36,199436620807
202406,Pix Saque,13836653044.42,55746060
202406,Pix Troco,162075439.18,487491
202407,Nao disponivel,362096154493.04,811401360
202407,Pix,85631115051289.72,209737840444
202407,Pix Saque,15627440900.72,62299248
202407,Pix Troco,164695259.08,511544
202408,Nao disponivel,348696892595.7,852739380
202408,Pix,87302794562666.1,224503771500
202408,Pix Saque,16577652457.8,65354625
202408,Pix Troco,136495800.9,410940
202409,Nao disponivel,334459577518.64,850324812
202409,Pix,88773375884535.4,224254827562
202409,Pix Saque,16416387659.14,62585852
202409,Pix Troco,129493627.1,359444
202410,Nao disponivel,522647634243.37,990596722
202410,Pix,97616679227353.73,238458584676
202410,Pix Saque,18308000766.87,69809429
202410,Pix Troco,125124943.01,372663
202411,Nao disponivel,504284414339.04,973020480
202411,Pix,99392455542684.95,247176634368
202411,Pix Saque,18056080776.0,71226384
202411,Pix Troco,128745279.36,392592
202412,Nao disponivel,585029125350.88,1253578907
202412,Pix,113523136217390.4,278454740739
202412,Pix Saque,21456049725.670002,86781597
202412,Pix Troco,160032110.56,460061
202501,Nao disponivel,578273838948.0,1149154200
202501,Pix,103268195055579.0,251789400550
202501,Pix Saque,20321833251.0,75336900
202501,Pix Troco,136908026.5,380050
202502,Nao disponivel,364576890620.0,990763350
202502,Pix,101839228282211.0,248224601600
202502,Pix Saque,19857114371.0,74505250
202502,Pix Troco,132428525.0,376450
202503,Nao disponivel,231714657862.47,1101863262
202503,Pix,110541225888637.77,282609361581
202503,Pix Saque,20374371260.19,74427258
202503,Pix Troco,131153038.71,349299
202504,Nao disponivel,226196927639.28,1208903748
202504,Pix,116970363184001.08,289814789368
202504,Pix Saque,22404489202.16,80250560
202504,Pix Troco,153677307.16,441064
202505,Nao disponivel,256750909957.98,1286971652
202505,Pix,125817255801891.42,312922434481
202505,Pix Saque,24643847816.04,87528758
202505,Pix Troco,184086305.03,517598
202506,Nao disponivel,230854809354.48,1323231390
202506,Pix,129100708495392.12,311736387888
202506,Pix Saque,24214734994.14,86401620
202506,Pix Troco,182488618.98,516888
202507,Nao disponivel,259089755949.75,1346098490
202507,Pix,140628143197109.16,328390326605
202507,Pix Saque,25668519963.35,90407240
202507,Pix Troco,176695570.15,511610
202508,Nao disponivel,265414170132.72,1470182560
202508,Pix,142524376917996.62,347857793920
202508,Pix Saque,25320782645.2,89563264
202508,Pix Troco,179807446.0,512904
202509,Nao disponivel,291557962385.19,1506879303
202509,Pix,150823993503988.84,347992563102
202509,Pix Saque,26855836055.64,96812790
202509,Pix Troco,190001655.09,502797
202510,Nao disponivel,436445391543.88,1803204456
202510,Pix,160007557411133.53,372364604910
202510,Pix Saque,29530963302.6,105989026
202510,Pix Troco,186547880.66,509356
202511,Nao disponivel,430182804194.6,1997688493
202511,Pix,153401442769908.34,379102149086
202511,Pix Saque,27607317741.71,92721391
202511,Pix Troco,177794958.92,446158
202512,Nao disponivel,490385717691.0,2528660460
202512,Pix,188281199182973.4,423271751220
202512,Pix Saque,33995641691.4,117040680
202512,Pix Troco,221149380.6,531480
202601,Nao disponivel,525183802117.72003,2180046975
202601,Pix,164143799529113.25,385934933224
202601,Pix Saque,31061787114.02,99261884
202601,Pix Troco,177160233.32,455975
202602,Nao disponivel,447481001132.73,2180216494
202602,Pix,155893383721153.78,362891787151
202602,Pix Saque,28755081134.09,90269569
202602,Pix Troco,178462225.25,443531
202603,Nao disponivel,488727438374.9,2461847330
202603,Pix,186275689514518.56,415464165164
202603,Pix Saque,25216048223.02,77494792
202603,Pix Troco,110272398.34,272924
202604,Nao disponivel,483968645043.02997,2463630246
202604,Pix,181987921275289.9,418375645884
202604,Pix Saque,18634459673.34,57148497
202604,Pix Troco,20296034.64,72135
202605,Nao disponivel,552377307465.6,2868143808
202605,Pix,188708742822353.9,452877145472
202605,Pix Saque,18118551101.44,54898688
202605,Pix Troco,19302360.32,70912
202606,Nao disponivel,533402460455.15,2989578800
202606,Pix,197316594548275.16,450801447785
202606,Pix Saque,18251729448.55,56674865
202606,Pix Troco,20683309.4,77610
202607,Nao disponivel,604512703165.14,2875878654
202607,Pix,212112051730061.34,474788783766
202607,Pix Saque,20720410201.26,67969308
202607,Pix Troco,24806199.66,88044
