AnoMes,volume_total,qtd_total
202011,25869846307.88,29524895.0
202012,107200725983.28,124890953.0
202101,275839114657.9,339532214.0
202102,508815601835.88,688253877.0
202103,953363080881.4,1313838448.0
202104,1368004379674.35,2053361320.0
202105,1964289166263.6,3259667208.0
202106,2529541518039.27,4382123501.0
202107,3307379967115.92,5965430416.0
202108,4122040933755.54,7336717641.0
202109,4796413387110.8,8712141500.0
202110,5522846306327.02,10778480867.0
202111,6459959488295.04,12421693644.0
202112,8091599888486.01,15917209763.0
202201,7755709566020.36,15307155220.0
202202,8435085731246.55,17436593475.0
202203,11043170716272.32,21799654768.0
202204,11567875048187.22,24139429259.0
202205,13871221009063.92,28352928762.0
202206,14681976648303.21,31041254883.0
202207,16236442771642.8,34998535160.0
202208,18628006985211.12,39037031439.0
202209,19361765420361.54,42276693668.0
202210,20641967659737.832,47126462283.0
202211,22113515158833.6,50491134000.0
202212,26169746426002.5,60579117225.0
202301,24837486490696.62,56755841116.0
202302,24469171618458.96,58152333861.0
202303,30753582778027.2,71288368816.0
202304,29851031212597.43,73053224329.0
202305,34404218033269.5,82767182190.0
202306,35871176537613.49,88611293017.0
202307,38626201815739.52,98481538464.0
202308,42463308274485.12,108181604421.0
202309,43424974588358.82,113935895228.0
202310,48317728907609.35,124411305200.0
202311,51195225651540.12,133392753504.0
202312,59204721630346.26,155896701616.0
202401,56361885105400.22,146324426020.0
202402,55507168735178.55,150036178266.0
202403,63673140954646.4,172917087760.0
202404,71188326488916.73,178156085539.0
202405,74370402159120.9,194071084872.0
202406,76384431772725.92,200260624905.0
202407,86009003341942.56,210612052596.0
202408,87668205603520.5,225422276445.0
202409,89124381343340.28,225168097670.0
202410,98157759987306.98,239519363490.0
202411,99914924783079.36,248221273824.0
202412,114129781424577.52,279795561304.0
202501,103866927635804.5,253014271700.0
202502,102223794715727.0,249290246650.0
202503,110793446070799.14,283786001400.0
202504,117219118278149.69,291104384740.0
202505,126098834645970.48,314297452489.0
202506,129355960528359.72,313146537786.0
202507,140913078168592.4,329827343945.0
202508,142815291678220.56,349418052648.0
202509,151142597304084.75,349596757992.0
202510,160473720313860.7,374274307748.0
202511,153859410686803.56,381193005128.0
202512,188805801691736.4,425917983840.0
202601,164700222278578.3,388214698058.0
202602,156369798265645.88,365162716745.0
202603,186789743273514.8,418003780210.0
202604,182490544676040.9,420896496762.0
202605,189279257983281.28,455800258880.0
202606,197868269421488.25,453847779060.0
202607,212737309649627.4,477732719772.0
